annotation	fc_log2	bh
C00086	-1.77316971	1.96E-07
C00183	2.389914845	1.31E-06
C00134	-2.480998267	3.34E-06
C02170	1.796403046	5.12E-06
C00037	2.293949993	1.44E-05
C04025	1.887302336	2.52E-05
C00122	1.60914071	3.51E-05
C00041	4.338117107	4.17E-05
C01620	2.914827146	6.50E-05
C00497	1.935864764	0.000147372
C00407	1.995625428	0.000586921
C00158	-2.593905396	0.000794148
C00047	-2.162810354	0.001100978
C02470	1.956634193	0.001705654
C00025	-1.116394204	0.001854925
C00295	-4.307317866	0.003050019
C00082	-1.89613968	0.003586183
C00077	-5.982165946	0.004305567
C00074	-0.801272478	0.005212245
C00178	-0.916607034	0.006472019
C00147	-1.341735936	0.007781414
C00049	1.199008293	0.009430318
C02630	2.433352138	0.011745302
C01724	-0.651335365	0.012345175
C06156	-3.76750574	0.013388699
C00152	4.244918075	0.01669805
methyl-beta-D-Galactopyranoside	-1.821671621	0.01993448
C03547	0.656015742	0.021924955
C00794	-0.379398161	0.024492623
C00346	-0.944232286	0.02584688
C01040	2.117188619	0.027274271
C00262	-1.149303676	0.028623073
C00065	-0.2596375	0.031637362
C16884	1.356008189	0.032670522
C00116	-0.422440762	0.033642989
C00880	1.176623527	0.035165838
C19636	1.159577147	0.03955901
C01879	-0.09942218	0.042708757
C08261	-0.183123012	0.047196542
C00712	-0.359320226	0.049253381
N-acetyl-Lysine	-2.644987013	0.054345923
C00153	-0.233269873	0.056300523
C00020	1.141397659	0.058120005
C01041	2.552548405	0.064486187
C00051	1.833199629	0.066070961
C00597	-0.85824983	0.067758917
C01083	1.085730917	0.070943756
C00130	-1.409102035	0.073387635
C00123	0.805163996	0.079077594
Ribonic acid-gamma-lactone	0.886644872	0.082521862
C00221	1.521660751	0.086126874
C00249	0.764368456	0.093647907
C00189	-0.672045962	0.097738665
C01530	0.90043627	0.099655278
C01595	-0.372554678	0.102737741
Ethanolamine	-0.467798011	0.110345089
C00073	0.031424696	0.112543682
C05378	1.202991642	0.118707906
C00092	-0.20011975	0.123194323
C00079	-0.064282582	0.128680057
C08362	-0.235475317	0.138408912
C00417	-2.01520502	0.141327124
C01712	-0.317553327	0.146275447
Phosphatidyl Glycerol	-1.298829804	0.15524946
C00093	0.630891531	0.158613146
C19911	-0.509086469	0.16176913
1-Octadecene	-0.087137457	0.176138654
C05984	1.286051188	0.183489262
"1,6-anhydro-Glucose"	0.72941559	0.186947331
1-Palmitoylglycerol	-0.324755626	0.206298454
C00089	0.679457569	0.212584448
C06424	-0.271906298	0.21769232
C00263	0.931007822	0.221734225
Heptadecanoic acid	0	0.224948549
C00311	0.772039753	0.231108824
Sophorose	1.37536899	0.237271811
Eicosane	1.105927079	0.245040534
C01601	-0.354623501	0.258556951
C00474	0.626174319	0.263319933
C00148	-0.094609398	0.27661058
C00064	-0.489450259	0.28132363
C01694	0.952599193	0.292302284
C00048	0.786894755	0.298275633
C00022	-0.019950154	0.302827087
C00233	0.879216307	0.318301146
C00117	0.691032747	0.334791647
C00242	-0.307468258	0.339587016
C02979	-0.781151779	0.351180994
C00887	-0.284111896	0.368041151
C06422	1.270286284	0.388378538
C01571	-0.025140753	0.406466127
C00539	-0.073426225	0.416042543
C00936	0.596490052	0.421885699
C17714	-0.170440449	0.432852398
C00186	0.548228713	0.439740985
C05382	0.457282599	0.44593297
C00188	0.406654554	0.461790733
C00212	0.736395815	0.467700251
1-Steroylglycerol	0.023399362	0.481531584
C00009	0.531007686	0.486457183
C06425	0.452831364	0.505293985
C01551	-0.179682525	0.511306536
Unknown acid	-0.027491604	0.539465215
C00106	0.048854971	0.545294422
C02291	-0.263944704	0.566527835
C01157	0.056555294	0.587102363
1-Monomyristin	0.079879953	0.6012824
C00085	0.073523355	0.609531159
C00013	0.693988297	0.645773013
N-acetyl-L-aspartic acid 1	-0.023913316	0.653870649
C02336	0.093642679	0.676445858
C20827	0.037483055	0.691522973
C00137	0.196543132	0.69988157
2-Steroylglycerol	0.008838073	0.734843985
C00042	0.336588818	0.747466905
2-Monopalmitoylglycerol	0.439476107	0.77914618
C02679	0.196716931	0.81441692
C08356	0.375839962	0.825641197
C01177	0.323017907	0.837479779
C00294	0.309529423	0.900709574
C06104	0.288210068	0.927921607
C00099	0.274011478	0.947532504
C00219	0.263634109	0.999616249
