	000min_mct1_lfc	000min_mct1_bh	015min_mct1_lfc	015min_mct1_bh	030min_mct1_lfc	030min_mct1_bh	060min_mct1_lfc	060min_mct1_bh	180min_mct1_lfc	180min_mct1_bh
Methylmalonic acid	0.886017803	0.005095074	0.165335621	0.401585198	0.319942121	0.096205331	1.393379481	4.5436e-05	1.796403046	5.12e-06
Malonic acid	0.149937263	0.729091415	-0.034175658	0.945610757	0.04978782	0.910679659	0.130919478	0.798312623	1.887302336	2.52e-05
Threonic acid	-0.382539465	0.050386726	-0.085277559	0.522238588	0.442228534	0.10569804	0.9351843	0.000172336	2.914827146	6.5e-05
Xanthurenic acid	0.905991059	0.163877202	0.314670856	0.312903081	0.254509669	0.38811182	0.026249977	0.911160792	1.956634193	0.001705654
Orotic acid	-3.96860657	0.000206079	-2.932519745	0.000150716	-3.248451183	0.004646676	-4.284137244	7.85e-05	-4.307317866	0.003050019
2-Hydroxyglutaric acid	2.388661515	0.00204618	3.246433625	0.001112176	1.945957464	0.059045326	0.941468416	0.098373671	2.433352138	0.011745302
alpha-D-Glucosamine 1-phosphate	-4.465531738	0.001775061	-5.348503448	0.000246056	-5.328013215	0.000662655	-5.605802396	6.37e-05	-3.76750574	0.013388699
methyl-beta-D-Galactopyranoside	-0.703568327	0.227736938	-2.870397935	0.028691676	-2.893626743	0.312193686	-4.285289341	0.007861476	-1.821671621	0.01993448
L-Gulonic acid gamma-lactone	-0.938565766	0.130364323	1.734301335	0.056272569	-0.919926067	0.205969518	-1.741655662	0.07553384	2.117188619	0.027274271
D-Threitol	-0.40706238	0.000763541	-0.360216551	0.211218038	-0.009849141	0.978514198	-1.629188562	0.0720479	1.356008189	0.032670522
Galactonic acid	-1.370877625	0.017156387	-1.480724977	0.000507644	-0.680827535	0.128935081	-0.429233809	0.167679212	1.176623527	0.035165838
Turanose	0.561207334	0.172851663	-1.222047355	0.386600748	-2.026052436	0.001177498	-2.71297743	0.000341816	1.159577147	0.03955901
Azelaic acid	-1.040391055	0.005290338	-0.419951983	0.114761394	-0.725151174	0.005718325	-0.579689604	0.040560838	-0.183123012	0.047196542
Oleic acid	-0.720251345	0.109232261	-0.995128339	0.034820068	-0.579501516	0.056975172	-0.219741609	0.559663941	-0.359320226	0.049253381
N-acetyl-Lysine	-1.937763615	0.067174947	-2.546848505	0.016126686	-3.564260109	0.161059831	-3.379466002	0.150247141	-2.644987013	0.054345923
Trehalose	-0.056083668	0.965030737	-1.16336437	0.120927979	-1.671805998	0.016732348	-2.001569881	0.038193662	1.085730917	0.070943756
Ribonic acid-gamma-lactone	0.18363324	0.564334917	-0.752187068	0.008915638	-1.656549316	0.004121789	-0.925600741	0.002940191	0.886644872	0.082521862
Linoleic acid	-0.683356018	0.07577523	-1.331832667	0.018806353	0.04215141	0.919589439	0.341840813	0.550603039	-0.372554678	0.102737741
Palmitoleic acid	-0.721089739	0.091421584	-0.940926473	0.042267619	-0.484076667	0.072249754	-0.081260859	0.820878078	-0.235475317	0.138408912
cis-Aconitic acid	-0.246479185	0.710709581	0.18960545	0.866439784	0.743625974	0.546830855	0.088305077	0.932580721	-2.01520502	0.141327124
Phosphatidyl Glycerol	-0.228859544	0.432222081	0.136243325	0.877093119	-0.195233077	0.775486375	-3.629972546	0.011922178	-1.298829804	0.15524946
Iminodiacetic acid	-1.423809576	0.00414378	-0.223001826	0.477779869	-0.754197941	0.03210504	-0.008519039	0.97535124	-0.509086469	0.16176913
1-Octadecene	-0.926886848	0.043212215	-0.687895498	0.017792217	-1.036396742	4.49e-05	-0.479069226	0.082618033	-0.087137457	0.176138654
2-Hydroxybutyric acid	-0.666106189	0.079016495	0.132051179	0.590476525	-0.460757379	0.319306226	0.009083886	0.985907452	1.286051188	0.183489262
1,6-anhydro-Glucose	0.1649257	0.404375526	0.339037411	0.054264294	-0.213141941	0.362068184	-0.370402325	0.112518592	0.72941559	0.186947331
1-Palmitoylglycerol	-1.302009572	0.005794332	-0.095056527	0.554922748	-0.94052957	0.001908785	-0.459976272	0.193165702	-0.324755626	0.206298454
Sucrose	0.700346586	0.327350687	0.436905342	0.354696868	-0.593370286	0.2032078	-1.143339795	0.050088812	0.679457569	0.212584448
Myristic acid	-1.482086863	0.003977079	-0.988540856	0.005464945	-1.808595364	3.33e-05	-1.691037616	1.1289e-05	-0.271906298	0.21769232
Homoserine	0.125226404	0.67234721	-0.724102876	0.030594122	-1.123944423	0.067501536	-2.111355231	0.019226212	0.931007822	0.221734225
Heptadecanoic acid	-3.63908562	0.15660144	0.0	0.265768879	0.0	0.108302377	-1.860874409	0.262073451	0.0	0.224948549
Sophorose	0.190983269	0.753432336	-2.902972684	0.141350687	0.0	0.114212524	-1.335322098	0.266945913	1.37536899	0.237271811
Eicosane	-1.090690796	0.014258904	-1.005895103	0.017037533	-1.743393408	0.021523203	-0.372721082	0.47896913	1.105927079	0.245040534
Nonanoic acid	-1.160383915	0.008489654	0.112569052	0.419766543	-0.757507619	0.003357687	-0.189312453	0.487704178	-0.354623501	0.258556951
Ribitol	0.192523292	0.194921932	-0.416122422	0.13726682	-0.582814437	0.08520854	-0.686051307	0.105117069	0.626174319	0.263319933
Ergosterol	-1.233377297	0.06346682	-1.829076584	0.022340969	1.423992467	0.044005157	0.716367521	0.313417552	0.952599193	0.292302284
D-Ribose-5-phosphate	0.284228313	0.48218527	-0.818661913	0.000117707	0.09872187	0.662171405	-0.075753536	0.754744002	0.691032747	0.334791647
Beta-Glycerophosphoric acid	-0.04921066	0.904449006	0.834200109	0.045036566	0.0	0.259862904	1.649790422	0.434844021	-0.781151779	0.351180994
Nitrous Oxide	-1.2806358	0.034379218	0.488224505	0.153539897	-0.967135113	0.006221214	-0.239497795	0.538427113	-0.284111896	0.368041151
Cellobiose	-2.162271966	0.015266932	0.159681827	0.849988455	0.702437738	0.148901723	-0.762413447	0.247173089	1.270286284	0.388378538
Capric acid	-0.971317199	0.049446072	0.040104624	0.820292784	-0.347790965	0.268514906	0.445666524	0.18322306	-0.025140753	0.406466127
Benzoic acid	-1.057140319	0.02899481	0.071825046	0.67858797	-0.429686149	0.092042767	-0.27358016	0.232938925	-0.073426225	0.416042543
Heptanoic acid	-0.855140202	0.028140094	0.148492525	0.434519799	-0.495802691	0.037067032	0.324128359	0.396780136	-0.170440449	0.432852398
1-Steroylglycerol	-1.056584877	0.007595534	-0.376791993	0.009855624	-0.839364953	0.000480065	-0.581974275	0.061995258	0.023399362	0.481531584
Arachidic acid	-1.283719364	0.00656559	-1.616408775	0.001194692	-0.585111965	0.144437624	-1.28914952	0.003698159	0.452831364	0.505293985
Allantoin	1.028968225	0.068602729	1.002707529	0.074679089	0.744370264	0.298485837	1.41143906	0.196628023	-0.179682525	0.511306536
Unknown acid	-0.545438591	0.061042414	0.704790385	0.011420147	-0.731846598	0.061985606	-0.985920826	0.221559888	-0.027491604	0.539465215
1-Monomyristin	-0.390843369	0.098846738	-0.245554491	0.22856059	-0.745538558	0.003777721	-0.364807488	0.256785309	0.079879953	0.6012824
N-acetyl-L-aspartic acid 1	-1.055275515	0.127233787	-3.611769863	0.009272149	-0.150063937	0.8697939	-1.106262873	0.146024811	-0.023913316	0.653870649
Beta-Hydroxyisovaleric acid	-1.233034357	0.103451668	-0.21092049	0.487201046	-0.120526317	0.697197186	-1.494266358	0.001630466	0.037483055	0.691522973
2-Steroylglycerol	-1.039360446	0.119502261	-0.046655469	0.977895073	-3.119618622	0.184026081	-1.57698289	0.448210846	0.008838073	0.734843985
2-Monopalmitoylglycerol	0.601364365	0.278499152	-1.380296342	0.236320155	2.04492709	0.049006361	-2.051198262	0.052216978	0.439476107	0.77914618
Lauric Acid	-1.231214497	0.003607474	-0.627478523	0.026341139	-0.800139543	0.025818641	0.014866004	0.923004755	0.196716931	0.81441692
